texto; disc. token (%); disc. split (%); disc. etiquetas (%); numero de tokens para %;numero de tokens anotador 1; numero de tokens anotador 2; numero de split para %; numero de split anotador 1; numero de split anotador 2; POS disc. anotador1; POS disc. anotador2; pares discrepantes (POS anotador1 : POS anotador2);discrepancias POS (POS1 - token1 : POS2 - token2);
['es-S0210-48062006000100012-1.txt_tagged'];0,000;0,000;1,471;204;204;204;8;8;8;[('correspondiente - AQ0CS0', 1), ('antiinflamatorios - NCMP000', 1), ('antibióticos - NCMP000', 1)];[('correspondiente - NCCS000', 1), ('antiinflamatorios - AQ0MP0', 1), ('antibióticos - AQ0MP0', 1)];[('[ NCMP000 : AQ0MP0 ]', 2), ('[ AQ0CS0 : NCCS000 ]', 1)];['[ AQ0CS0 - correspondiente : NCCS000 - correspondiente ]', '[ NCMP000 - antiinflamatorios : AQ0MP0 - antiinflamatorios ]', '[ NCMP000 - antibióticos : AQ0MP0 - antibióticos ]'];
['es-S0212-16112007000700016-1.txt_tagged'];0,122;0,000;1,703;822;824;824;25;25;25;[('derecho - AQ0MS0', 1), ('Hidratación - NCFS000', 1), ('Alimentación - NCFS000', 1), ('Medicación - NCFS000', 1), ('grasas - NCFP000', 1), ('animales - AQ0CP0', 1), ('controlándose - VMG0000+P00CN000', 1), ('alta - NCFS000', 1), ('Hospital_Ramón_y_Cajal - NP00000', 1), ('estabilizándose - VMG0000+P00CN000', 1), ('ha - NC00000', 1), ('lo - DA0NS0', 1), ('que - PR0CN000', 1), ('I - Z', 1)];[('derecho - NCMS000', 1), ('Hidratación - NP00000', 1), ('Alimentación - NP00000', 1), ('Medicación - NP00000', 1), ('grasas - AQ0FP0', 1), ('animales - NCMP000', 1), ('controlándose - VMG0000+PP3CN000', 1), ('alta - AQ0FS0', 1), ('Hospital_Ramón - NP00000', 1), ('estabilizándose - VMG0000+PP3CN000', 1), ('ha - VAIP3S0', 1), ('lo - PP3CNA00', 1), ('que - CS', 1), ('I - NC00000', 1)];[('[ NCFS000 : NP00000 ]', 3), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 2), ('[ AQ0MS0 : NCMS000 ]', 1), ('[ NCFP000 : AQ0FP0 ]', 1), ('[ AQ0CP0 : NCMP000 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ NP00000 : NP00000 ]', 1), ('[ NC00000 : VAIP3S0 ]', 1), ('[ DA0NS0 : PP3CNA00 ]', 1), ('[ PR0CN000 : CS ]', 1), ('[ Z : NC00000 ]', 1)];['[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - Hidratación : NP00000 - Hidratación ]', '[ NCFS000 - Alimentación : NP00000 - Alimentación ]', '[ NCFS000 - Medicación : NP00000 - Medicación ]', '[ NCFP000 - grasas : AQ0FP0 - grasas ]', '[ AQ0CP0 - animales : NCMP000 - animales ]', '[ VMG0000+P00CN000 - controlándose : VMG0000+PP3CN000 - controlándose ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NP00000 - Hospital_Ramón_y_Cajal : NP00000 - Hospital_Ramón ]', '[ VMG0000+P00CN000 - estabilizándose : VMG0000+PP3CN000 - estabilizándose ]', '[ NC00000 - ha : VAIP3S0 - ha ]', '[ DA0NS0 - lo : PP3CNA00 - lo ]', '[ PR0CN000 - que : CS - que ]', '[ Z - I : NC00000 - I ]'];
['S0210-48062006000300014-1.txt_tagged'];0,000;0,000;2,328;902;902;902;31;31;31;[('derecha - AQ0FS0', 2), ('alta - NCFS000', 2), ('Gy - NC00000', 2), ('mas - RG', 1), ('junto - RG', 1), ('primario - AQ0MS0', 1), ('submucosa - NCFS000', 1), ('perdida - NCFS000', 1), ('Urea - NCFS000', 1), ('K+ - NC00000', 1), ('Rx - NC00000', 1), ('objetivándose - VMG0000+P00CN000', 1), ('mismo - PI0MS000', 1), ('Quimio-Radio-terapia - NCFS000', 1), ('consiguiéndose - VMG0000+P00CN000', 1), ('planteándose - VMG0000+P00CN000', 1), ('misma - PI0FS000', 1), ('derecho - AQ0MS0', 1)];[('derecha - NCFS000', 2), ('alta - AQ0FS0', 2), ('Gy - NP00000', 2), ('mas - NC00000', 1), ('junto - AQ0MS0', 1), ('primario - NCMS000', 1), ('submucosa - AQ0FS0', 1), ('perdida - VMP00SF', 1), ('Urea - NP00000', 1), ('K+ - NP00000', 1), ('Rx - NP00000', 1), ('objetivándose - VMG0000+PP3CN000', 1), ('mismo - AQ0MS0', 1), ('Quimio-Radio-terapia - NP00000', 1), ('consiguiéndose - VMG0000+PP3CN000', 1), ('planteándose - VMG0000+PP3CN000', 1), ('misma - AQ0FS0', 1), ('derecho - NCMS000', 1)];[('[ NC00000 : NP00000 ]', 4), ('[ NCFS000 : AQ0FS0 ]', 3), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 3), ('[ AQ0MS0 : NCMS000 ]', 2), ('[ NCFS000 : NP00000 ]', 2), ('[ AQ0FS0 : NCFS000 ]', 2), ('[ RG : NC00000 ]', 1), ('[ RG : AQ0MS0 ]', 1), ('[ NCFS000 : VMP00SF ]', 1), ('[ PI0MS000 : AQ0MS0 ]', 1), ('[ PI0FS000 : AQ0FS0 ]', 1)];['[ RG - mas : NC00000 - mas ]', '[ RG - junto : AQ0MS0 - junto ]', '[ AQ0MS0 - primario : NCMS000 - primario ]', '[ NCFS000 - submucosa : AQ0FS0 - submucosa ]', '[ NCFS000 - perdida : VMP00SF - perdida ]', '[ NCFS000 - Urea : NP00000 - Urea ]', '[ NC00000 - K+ : NP00000 - K+ ]', '[ NC00000 - Rx : NP00000 - Rx ]', '[ VMG0000+P00CN000 - objetivándose : VMG0000+PP3CN000 - objetivándose ]', '[ PI0MS000 - mismo : AQ0MS0 - mismo ]', '[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - Quimio-Radio-terapia : NP00000 - Quimio-Radio-terapia ]', '[ NC00000 - Gy : NP00000 - Gy ]', '[ NC00000 - Gy : NP00000 - Gy ]', '[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ VMG0000+P00CN000 - consiguiéndose : VMG0000+PP3CN000 - consiguiéndose ]', '[ VMG0000+P00CN000 - planteándose : VMG0000+PP3CN000 - planteándose ]', '[ PI0FS000 - misma : AQ0FS0 - misma ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S1130-01082009000400015-1.txt_tagged'];0,000;0,000;0,552;181;181;181;5;5;5;[('ulcus - NCMS000', 1)];[('ulcus - NC00000', 1)];[('[ NCMS000 : NC00000 ]', 1)];['[ NCMS000 - ulcus : NC00000 - ulcus ]'];
['es-S1130-01082007000400015-1.txt_tagged'];0,000;0,000;2,193;228;228;228;9;9;9;[('derecha - AQ0FS0', 1), ('practicándose - VMG0000+P00CN000', 1), ('derecho - AQ0MS0', 1), ('base - NCFS000', 1), ('alta - NCFS000', 1)];[('derecha - NCFS000', 1), ('practicándose - VMG0000+PP3CN000', 1), ('derecho - NCMS000', 1), ('base - NCCS000', 1), ('alta - AQ0FS0', 1)];[('[ AQ0FS0 : NCFS000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1), ('[ AQ0MS0 : NCMS000 ]', 1), ('[ NCFS000 : NCCS000 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1)];['[ AQ0FS0 - derecha : NCFS000 - derecha ]', '[ VMG0000+P00CN000 - practicándose : VMG0000+PP3CN000 - practicándose ]', '[ AQ0MS0 - derecho : NCMS000 - derecho ]', '[ NCFS000 - base : NCCS000 - base ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S0376-78922009000400002-1.txt_tagged'];0,000;0,000;1,245;241;241;241;10;10;10;[('complejo - AQ0MS0', 1), ('coma - NCMS000', 1), ('alta - NCFS000', 1)];[('complejo - NCMS000', 1), ('coma - VMSP3S0', 1), ('alta - AQ0FS0', 1)];[('[ AQ0MS0 : NCMS000 ]', 1), ('[ NCMS000 : VMSP3S0 ]', 1), ('[ NCFS000 : AQ0FS0 ]', 1)];['[ AQ0MS0 - complejo : NCMS000 - complejo ]', '[ NCMS000 - coma : VMSP3S0 - coma ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['S0365-66912004001100011-1.txt_tagged'];0,000;0,000;0,467;428;428;428;14;14;14;[('zoster - NP00000', 1), ('tyndall - NP00000', 1)];[('zoster - NCFS000', 1), ('tyndall - NC00000', 1)];[('[ NP00000 : NCFS000 ]', 1), ('[ NP00000 : NC00000 ]', 1)];['[ NP00000 - zoster : NCFS000 - zoster ]', '[ NP00000 - tyndall : NC00000 - tyndall ]'];
['S1134-80462008000500004-2.txt_tagged'];0,000;0,000;1,581;253;253;253;10;10;10;[('diestra - AQ0FS0', 1), ('Padecimiento - NCMS000', 1), ('izquierda - AQ0FS0', 1), ('agregándose - VMG0000+P00CN000', 1)];[('diestra - NCFS000', 1), ('Padecimiento - NP00000', 1), ('izquierda - NCFS000', 1), ('agregándose - VMG0000+PP3CN000', 1)];[('[ AQ0FS0 : NCFS000 ]', 2), ('[ NCMS000 : NP00000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ AQ0FS0 - diestra : NCFS000 - diestra ]', '[ NCMS000 - Padecimiento : NP00000 - Padecimiento ]', '[ AQ0FS0 - izquierda : NCFS000 - izquierda ]', '[ VMG0000+P00CN000 - agregándose : VMG0000+PP3CN000 - agregándose ]'];
['es-S1130-63432015000100008-1.txt_tagged'];0,216;7,143;1,728;463;464;463;14;14;13;[('alta - NCFS000', 3), ('i.v. - NC00000', 2), ('L - NC0000', 1), ('Recibía - VMII3S0', 1), ('consiguiéndose - VMG0000+P00CN000', 1)];[('alta - AQ0FS0', 3), ('i.v. - NCFS000', 2), ('L. - NC00000', 1), ('Recibía - NP00000', 1), ('consiguiéndose - VMG0000+PP3CN000', 1)];[('[ NCFS000 : AQ0FS0 ]', 3), ('[ NC00000 : NCFS000 ]', 2), ('[ NC0000 : NC00000 ]', 1), ('[ VMII3S0 : NP00000 ]', 1), ('[ VMG0000+P00CN000 : VMG0000+PP3CN000 ]', 1)];['[ NC0000 - L : NC00000 - L. ]', '[ VMII3S0 - Recibía : NP00000 - Recibía ]', '[ NC00000 - i.v. : NCFS000 - i.v. ]', '[ NC00000 - i.v. : NCFS000 - i.v. ]', '[ VMG0000+P00CN000 - consiguiéndose : VMG0000+PP3CN000 - consiguiéndose ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NCFS000 - alta : AQ0FS0 - alta ]'];
['es-S1137-66272009000500017-1.txt_tagged'];0,000;0,000;1,408;284;284;284;8;8;8;[('µg - NC00000', 2), ('alta - NCFS000', 1), ('ha - NC00000', 1)];[('µg - NCMS000', 2), ('alta - AQ0FS0', 1), ('ha - VAIP3S0', 1)];[('[ NC00000 : NCMS000 ]', 2), ('[ NCFS000 : AQ0FS0 ]', 1), ('[ NC00000 : VAIP3S0 ]', 1)];['[ NC00000 - µg : NCMS000 - µg ]', '[ NC00000 - µg : NCMS000 - µg ]', '[ NCFS000 - alta : AQ0FS0 - alta ]', '[ NC00000 - ha : VAIP3S0 - ha ]'];
